card_id,name,owned,limit_break,memo
card_001,上かッ！！,0,0,
card_002,パーティ楽しみだねっ！,0,0,
card_003,長旅おつかれさま！,0,0,
card_004,進化したお弁当、気になる,0,0,
card_005,あたしの勝ち、ですね～！,1,4,
card_006,合格おめでとう！,0,0,
card_007,かかってらっしゃい！,1,2,
card_008,みいつけた。,0,0,
card_009,思い出の宝箱だ、ね,0,0,
card_010,手毬のリサイタル、だね,0,0,
card_011,オシャレもメイクも♪,1,4,
card_012,堂々とサボってる！？,0,0,
card_013,自分と向き合う時間だ,1,1,
card_014,なぜこんなところにッ！？,1,0,
card_015,貸せ、手本を見せてやる！,1,4,
card_016,メリクリ、おねーちゃん♪,0,0,
card_017,やっと見つけたぞ！,0,0,
card_018,ぜったいに取るんだ！,1,4,
card_019,レディ・セット、ゴー！,0,0,
card_020,クールダウンが大切よ！,0,0,
card_021,月村手毬、興味深いわね,1,0,
card_022,これはーーお城ッ！！,0,0,
card_023,大運動会、開催っ！,1,0,
card_024,ちょっと詳しいんです！,0,0,
card_025,ｖギャルピーーースッｖ,0,0,
card_026,おっと、危ないよ,0,0,
card_027,おい、来てやったぞ！,0,0,
card_028,仲直りしましょう,1,0,
card_029,いつまでも続けばいいのに,1,3,
card_030,盛り上げてこ＾！,1,4,
card_031,放っておけない気になる子,1,0,
card_032,お母さんか！,0,0,
card_033,どんな関係なんですか？,1,1,
card_034,いつも頑張ってるね。,1,0,
card_035,推し活なひととき、だね！,0,0,
card_036,すっかり仲良しって感じ♪,1,4,
card_037,迷子のおしらせです,1,4,
card_038,みんなの意見を聞かせて♪,1,4,
card_039,よくやったな、倉本,0,0,
card_040,ひとりごとです,1,1,
card_041,わたしと美鈴、超仲良し,1,0,
card_042,利用し合うのが友達！,1,0,
card_043,相変わらず不器用ね,0,0,
card_044,さあ、もう一戦！,1,0,
card_045,相手にとって不足なしよ！,0,0,
card_046,ここから始まるんだね！,1,0,
card_047,ひとりでたてますか？,1,0,
card_048,新生活の始まりだね,1,0,
card_049,あなたたちのことが好き,0,0,
card_050,絶対にお渡ししますわっ！,0,0,
card_051,バレンタイン♡会議中ーっ！,0,0,
card_052,はいっ、みんなも一緒に♪,1,0,
card_053,これが私達の、3年間,0,0,
card_054,もう一度、最初から！,0,0,
card_055,待ちなさーい！,1,0,
card_056,あったかいね,0,0,
card_057,キラキラして綺麗～っ！,0,0,
card_058,さみだれ,1,4,
card_059,プロデュースって大変ね,1,0,
card_060,絶対追いついてやる！,1,0,
card_061,そろそろ焼けたかな？,0,0,
card_062,会長、準備は万端です,1,0,
card_063,すっかり秋色ですわね！,0,0,
card_064,似合うんじゃない？,0,0,
card_065,二人ならあっという間だね,1,0,
card_066,1人たりとも欠ける事なく,1,0,
card_067,新たな挑戦の成功ですわ！,1,4,
card_068,ゆっくりと過ごしましょう,1,4,
card_069,あっちも行きたいですわ！,1,0,
card_070,夏を満喫するわよ！,1,1,
card_071,花火、やりませんか……？,1,0,
card_072,夏を楽しみましょう！,1,1,
card_073,一時休戦です,0,0,
card_074,もうっ！　冷たいよ！,1,2,
card_075,「ア」じゃなくて「エ」！,1,0,
card_076,晴れたね,0,0,
card_077,まだ上がりませんように,1,0,
card_078,何やってるんだろう、,1,1,
card_079,第2回教室パーティー！,1,0,
card_080,あなたにも作ってあげる！,1,0,
card_081,こいつらめんどくさー,1,4,
card_082,お姉ちゃんに任せなさい！,1,0,
card_083,ぐぬぬぬぬ………！,1,0,
card_084,次の桜の季節には。,1,0,
card_085,お疲れ様、千奈ちゃん。,0,0,
card_086,まるで王子様みたいな,0,0,
card_087,おいしい顔、いただき～！,1,0,
card_088,わたしたち、やればできる,1,4,
card_089,可愛いと可愛いで可愛い！,1,4,
card_090,私の目に狂いはない,1,0,
card_091,また、あんなに無理をして,1,0,
card_092,あら、奇遇ね,1,0,
card_093,まじか。,1,0,
card_094,仕事のつもりで臨みなさい。,1,0,
card_095,ほら、一緒に持と♪,1,0,
card_096,お近づきの印☆,1,4,
card_097,佑芽ソリレース、疾走！,1,4,
card_098,ひっぱり じゅーなん,0,0,
card_099,トゲトゲ注意報,1,4,
card_100,おひさま笑顔、満開ふたつ,0,0,
card_101,ごきげんような挨拶♪,1,3,
card_102,一番星と王子様,1,4,
card_103,師弟の修行,0,0,
card_104,今はあえて、背を向けて,1,4,
card_105,ふわふわでワクワク,1,4,
card_106,今日は見学なんです,1,4,
card_107,ピコピコでボーン,0,0,